"No.,""Time"",""Source"",""Destination"",""Protocol"",""Length"",""Info"""
"191,""7.776711"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"192,""7.776711"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"193,""7.777109"",""192.168.43.122"",""114.125.240.14"",""UDP"",""75"",""56769  >  443 Len=33"""
"194,""7.777258"",""192.168.43.122"",""114.125.240.14"",""UDP"",""75"",""56769  >  443 Len=33"""
"195,""7.777393"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"196,""7.777393"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1240"",""443  >  56769 Len=1198"""
"197,""7.784188"",""192.168.43.122"",""114.125.240.14"",""UDP"",""76"",""56769  >  443 Len=34"""
"198,""7.788034"",""114.125.240.14"",""192.168.43.122"",""UDP"",""68"",""443  >  56769 Len=26"""
"199,""8.151583"",""192.168.43.122"",""74.125.200.139"",""TCP"",""55"",""57805  >  443 [ACK] Seq=1 Ack=1 Win=256 Len=1 [TCP segment of a reassembled PDU]"""
"200,""8.215219"",""74.125.200.139"",""192.168.43.122"",""TCP"",""54"",""443  >  57805 [ACK] Seq=1 Ack=2 Win=1644 Len=0"""
"201,""9.648733"",""192.168.43.122"",""142.251.12.139"",""TCP"",""55"",""57806  >  443 [ACK] Seq=1 Ack=1 Win=252 Len=1 [TCP segment of a reassembled PDU]"""
"202,""9.648851"",""192.168.43.122"",""142.251.12.139"",""TCP"",""55"",""57807  >  443 [ACK] Seq=1 Ack=1 Win=257 Len=1 [TCP segment of a reassembled PDU]"""
"203,""9.695010"",""142.251.12.139"",""192.168.43.122"",""TCP"",""54"",""443  >  57807 [ACK] Seq=1 Ack=2 Win=1195 Len=0"""
"204,""9.695225"",""142.251.12.139"",""192.168.43.122"",""TCP"",""54"",""443  >  57806 [ACK] Seq=1 Ack=2 Win=1376 Len=0"""
"205,""12.239840"",""0a:7f:98:e2:44:a7"",""IntelCor_53:01:42"",""ARP"",""42"",""Who has 192.168.43.122? Tell 192.168.43.1"""
"206,""12.239894"",""IntelCor_53:01:42"",""0a:7f:98:e2:44:a7"",""ARP"",""42"",""192.168.43.122 is at 28:d0:ea:53:01:42"""
"207,""12.360852"",""192.168.43.122"",""74.125.68.138"",""UDP"",""100"",""50993  >  443 Len=58"""
"208,""12.433173"",""74.125.68.138"",""192.168.43.122"",""UDP"",""69"",""443  >  50993 Len=27"""
"209,""12.450999"",""74.125.68.138"",""192.168.43.122"",""UDP"",""166"",""443  >  50993 Len=124"""
"210,""12.451260"",""192.168.43.122"",""74.125.68.138"",""UDP"",""77"",""50993  >  443 Len=35"""
"211,""12.453270"",""74.125.68.138"",""192.168.43.122"",""UDP"",""84"",""443  >  50993 Len=42"""
"212,""12.483889"",""192.168.43.122"",""74.125.68.138"",""UDP"",""75"",""50993  >  443 Len=33"""
"213,""12.537814"",""192.168.43.122"",""114.125.240.14"",""UDP"",""799"",""56769  >  443 Len=757"""
"214,""12.538639"",""74.125.68.138"",""192.168.43.122"",""UDP"",""67"",""443  >  50993 Len=25"""
"215,""12.582812"",""114.125.240.14"",""192.168.43.122"",""UDP"",""71"",""443  >  56769 Len=29"""
"216,""12.583014"",""114.125.240.14"",""192.168.43.122"",""UDP"",""165"",""443  >  56769 Len=123"""
"217,""12.583207"",""192.168.43.122"",""114.125.240.14"",""UDP"",""78"",""56769  >  443 Len=36"""
"218,""12.584151"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1287"",""443  >  56769 Len=1245"""
"219,""12.584673"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"220,""12.584673"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"221,""12.590166"",""192.168.43.122"",""114.125.240.14"",""UDP"",""75"",""56769  >  443 Len=33"""
"222,""12.597915"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"223,""12.602351"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"224,""12.602351"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"225,""12.602351"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"226,""12.602351"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"227,""12.602351"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
"228,""12.602351"",""114.125.240.14"",""192.168.43.122"",""UDP"",""1292"",""443  >  56769 Len=1250"""
